scorer,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000,DLC_resnet50_PERMar18shuffle1_10000
bodyparts,Pbsc0,Pbsc0,Pbsc0,Pbsc1,Pbsc1,Pbsc1
coords,x,y,likelihood,x,y,likelihood
30,611.2044677734375,161.31588745117188,0.9941901564598083,592.5896606445312,180.1316375732422,0.9674125909805298
31,610.8158569335938,161.1914520263672,0.9934046864509583,592.441162109375,180.1790008544922,0.9707099795341492
32,610.5374755859375,161.557373046875,0.993617832660675,592.4140625,180.70343017578125,0.9513687491416931
33,610.7003173828125,161.68655395507812,0.9936977624893188,592.1699829101562,180.27374267578125,0.9586865305900574
34,610.6491088867188,161.85507202148438,0.9935058951377869,592.433349609375,180.77418518066406,0.9626668095588684
35,610.4769287109375,161.48558044433594,0.99335116147995,592.5104370117188,180.42237854003906,0.9605790376663208
36,610.4405517578125,161.93017578125,0.9946278929710388,592.7163696289062,180.49041748046875,0.9596359133720398
37,611.0055541992188,161.09837341308594,0.9940148591995239,592.4949340820312,180.5393829345703,0.9660542607307434
38,610.76904296875,161.36122131347656,0.994972288608551,593.0051879882812,180.15753173828125,0.9663145542144775
39,610.6766357421875,161.6018524169922,0.9948451519012451,592.5046997070312,180.24838256835938,0.9668071269989014
40,610.7249145507812,161.14744567871094,0.9942759275436401,592.4976196289062,180.2984161376953,0.9594495892524719
41,610.81201171875,161.29833984375,0.9944812059402466,592.0814208984375,179.52125549316406,0.9694992303848267
42,611.019775390625,161.064208984375,0.994290828704834,592.6226806640625,179.3349151611328,0.9691571593284607
43,610.3806762695312,161.48086547851562,0.9948630332946777,592.5107421875,179.9950408935547,0.971524715423584
44,610.3336791992188,161.9249725341797,0.9950032234191895,592.44677734375,180.98382568359375,0.9677135944366455
45,610.1002197265625,161.56277465820312,0.9946837425231934,592.4715576171875,180.57199096679688,0.9707047939300537
46,611.2194213867188,161.7284393310547,0.993919312953949,592.9552001953125,179.42843627929688,0.9661457538604736
47,610.927978515625,161.47312927246094,0.9944232702255249,592.80712890625,180.05047607421875,0.9648212790489197
48,610.9898681640625,161.19906616210938,0.992889404296875,593.3207397460938,179.777099609375,0.955184280872345
49,610.8644409179688,161.06471252441406,0.9952134490013123,593.0115356445312,180.0066680908203,0.9697624444961548
50,610.6702270507812,161.1665802001953,0.9953908920288086,592.889404296875,180.39231872558594,0.9695181250572205
51,610.45703125,161.49081420898438,0.9947417974472046,592.7706298828125,180.23977661132812,0.9727290868759155
52,610.6866455078125,161.62815856933594,0.9950079917907715,593.0732421875,179.8382568359375,0.9577518701553345
53,610.9324340820312,161.31011962890625,0.9952244162559509,592.7678833007812,179.81781005859375,0.9657546281814575
54,610.8076782226562,161.48866271972656,0.9953709244728088,592.8851928710938,180.44630432128906,0.9599546194076538
55,610.30224609375,161.36878967285156,0.9952021241188049,592.9537353515625,180.64064025878906,0.9606137275695801
56,611.3871459960938,161.27105712890625,0.9955998063087463,593.1177368164062,180.9388885498047,0.9612985253334045
